arrive_time,depart_time,power_support,battery_capacity,start_soc,end_soc,energy_demand,curve_type,time_slots_needed
9,13,80,80,0.18,0.98,64.0,1,4
46,49,120,70,0.38,0.98,42.0,0,2
7,8,100,98,0.48,0.92,43.120000000000005,0,2
46,49,100,77,0.42,0.98,43.120000000000005,0,2
66,73,100,91,0.08,0.88,72.8,1,4
51,55,60,54,0.38,0.98,32.4,0,3
26,28,60,60,0.57,0.78,12.600000000000005,1,1
27,30,100,84,0.32,0.98,55.43999999999999,0,3
9,11,80,60,0.68,0.88,11.999999999999996,1,1
10,15,120,103,0.18,0.98,82.4,0,3
21,27,120,71,0.48,0.82,24.139999999999997,0,1
11,13,80,70,0.32,0.98,46.199999999999996,1,3
62,65,120,98,0.48,0.68,19.600000000000005,0,1
95,96,120,89,0.18,0.98,71.2,1,3
1,6,80,79,0.28,0.88,47.4,1,3
37,42,60,61,0.52,0.98,28.06,1,3
6,11,100,95,0.22,0.98,72.2,0,3
29,33,60,66,0.28,0.98,46.199999999999996,0,4
1,7,60,61,0.32,0.98,40.26,2,3
66,70,60,43,0.52,0.98,19.779999999999998,2,2
60,64,120,99,0.32,0.92,59.400000000000006,1,3
29,30,60,67,0.08,0.98,60.300000000000004,0,5
30,34,60,68,0.32,0.98,44.879999999999995,2,4
34,37,60,55,0.92,1.0,4.399999999999998,2,1
7,8,80,66,0.57,0.98,27.060000000000002,1,2
95,96,60,49,0.12,0.98,42.14,2,4
21,25,120,102,0.32,0.98,67.32,0,3
44,46,120,107,0.32,0.92,64.2,0,3
30,34,60,57,0.82,1.0,10.260000000000003,2,1
55,60,80,63,0.42,0.72,18.9,1,2
1,9,120,90,0.18,0.38,18.0,0,1
26,32,80,54,0.42,0.62,10.8,1,1
58,62,80,82,0.48,0.98,41.0,0,3
51,54,120,97,0.32,0.98,64.02,0,3
23,29,80,68,0.22,0.98,51.68,1,4
78,81,80,77,0.48,0.98,38.5,1,3
3,7,120,77,0.57,0.98,31.570000000000004,0,2
20,24,80,65,0.32,0.98,42.89999999999999,1,3
22,24,80,58,0.42,0.98,32.480000000000004,0,2
1,3,80,52,0.12,0.98,44.72,1,3
22,26,60,57,0.78,0.98,11.399999999999997,2,1
12,20,80,54,0.12,0.98,46.44,1,3
1,5,60,45,0.22,0.98,34.2,2,3
48,52,80,66,0.42,0.98,36.96,1,3
56,59,60,58,0.18,0.98,46.400000000000006,2,4
1,3,120,72,0.12,0.98,61.92,0,3
22,25,60,49,0.42,0.98,27.44,2,3
24,28,60,56,0.38,0.98,33.6,2,3
84,85,120,93,0.42,0.98,52.080000000000005,0,2
34,36,60,53,0.32,0.98,34.98,2,3
22,25,60,48,0.28,0.88,28.799999999999997,2,3
48,50,100,96,0.48,0.82,32.64,0,2
12,15,60,60,0.38,0.62,14.399999999999999,1,2
28,32,100,96,0.32,0.98,63.35999999999999,0,3
27,31,120,85,0.82,1.0,15.300000000000004,1,1
5,9,100,95,0.28,0.98,66.5,0,3
83,86,80,64,0.62,0.98,23.04,1,2
26,29,80,73,0.08,0.82,54.019999999999996,0,3
51,57,60,69,0.28,0.48,13.799999999999997,1,2
54,58,60,53,0.18,0.98,42.400000000000006,0,3
58,61,100,90,0.57,0.98,36.900000000000006,0,2
61,68,100,78,0.28,0.98,54.599999999999994,0,3
1,5,120,77,0.57,0.98,31.570000000000004,0,2
51,55,60,40,0.52,0.98,18.4,2,2
1,6,60,62,0.12,0.38,16.12,2,2
11,14,60,54,0.62,0.98,19.439999999999998,0,2
57,61,120,76,0.08,0.98,68.4,1,3
3,8,60,60,0.32,0.98,39.599999999999994,2,3
32,34,60,62,0.18,0.78,37.2,2,3
16,22,60,56,0.38,0.98,33.6,0,3
31,32,100,77,0.28,0.98,53.9,2,3
16,19,100,96,0.42,0.68,24.960000000000008,0,1
59,63,100,79,0.12,0.98,67.94,0,3
60,64,120,106,0.48,0.98,53.0,0,2
61,65,60,54,0.48,0.72,12.959999999999999,2,1
24,29,100,91,0.42,0.62,18.2,0,1
1,5,60,60,0.28,0.98,42.0,2,4
51,53,80,79,0.18,0.98,63.2,1,4
9,13,100,85,0.38,0.98,51.0,0,3
28,32,100,78,0.08,0.98,70.2,1,4
38,42,60,54,0.57,0.92,18.900000000000006,1,2
1,8,80,50,0.12,0.98,43.0,1,3
51,55,80,51,0.38,0.98,30.599999999999998,1,2
18,19,80,54,0.68,0.88,10.799999999999997,1,1
22,26,100,62,0.78,0.98,12.399999999999997,0,1
9,12,60,41,0.62,0.82,8.199999999999998,1,1
46,50,60,60,0.12,0.92,48.0,2,4
29,32,100,91,0.62,0.92,27.300000000000004,0,2
27,32,60,50,0.38,0.98,30.0,2,3
31,33,60,54,0.42,0.62,10.8,2,1
5,9,120,100,0.48,0.98,50.0,0,2
60,64,60,67,0.22,0.98,50.92,0,4
1,2,80,80,0.12,0.72,48.0,1,3
24,29,100,76,0.38,0.98,45.6,0,2
31,35,60,56,0.28,0.98,39.199999999999996,2,3
20,25,60,48,0.12,0.98,41.28,1,4
