step,reward
0,1791.068817
1,1709.215768
2,1814.767148
3,1738.872478
4,1687.071189
5,1792.430317
6,1774.665884
7,1770.910007
8,1722.267502
9,1710.707577
10,1773.954966
11,1675.308166
12,1728.283336
13,1713.615067
14,1788.253815
15,1724.069247
16,1724.21579
17,1731.38153
18,1729.753693
19,1778.444057
20,1769.806442
21,1763.797683
22,1734.537665
23,1715.668863
24,1695.328757
25,1789.423956
26,1776.523254
27,1715.970485
28,1727.724933
29,1636.534891
30,1769.019241
31,1727.913068
32,1771.641913
33,1716.316142
34,1760.87401
35,1747.678341
36,1693.705853
37,1713.532122
38,1698.28832
39,1765.455308
40,1660.645102
41,1842.188306
42,1775.480669
43,1750.412607
44,1703.261576
45,1758.221149
46,1809.262709
47,1728.432533
48,1671.326075
49,1679.407521
50,1742.381125
51,1724.35395
52,1721.373017
53,1738.441085
54,1760.669366
55,1726.019789
56,1715.083677
57,1723.704055
58,1771.258071
59,1784.046745
60,1691.427371
61,1707.997583
62,1718.333952
63,1743.691463
64,1722.843127
65,1674.473501
66,1715.846701
67,1747.278546
68,1753.021702
69,1737.627234
70,1782.654806
71,1844.259472
72,1748.485991
73,1713.038772
74,1724.430704
75,1686.616062
76,1729.483767
77,1735.928058
78,1663.60422
79,1783.923947
80,1801.495316
81,1767.806693
82,1681.155738
83,1692.159305
84,1755.468283
85,1759.805367
86,1763.60421
87,1794.236711
88,1820.795558
89,1715.742187
90,1730.081628
91,1724.82038
92,1780.728567
93,1731.268445
94,1767.241591
95,1732.374538
96,1717.31281
97,1786.552519
98,1723.555198
99,1806.013852
100,1765.873139
101,1791.360311
102,1701.766108
103,1807.124648
104,1710.129226
105,1782.25359
106,1722.035395
107,1709.36315
108,1788.858581
109,1737.698771
110,1722.324953
111,1731.175815
112,1718.731527
113,1715.543653
114,1703.189638
115,1759.616441
116,1786.56748
117,1632.109892
118,1693.800517
119,1735.903568
120,1724.343363
121,1669.720043
122,1748.133476
123,1716.570435
124,1759.198125
125,1686.410652
126,1740.431089
127,1735.591091
128,1751.279929
129,1811.907231
130,1710.240863
131,1685.636391
132,1846.611958
133,1733.552268
134,1729.92596
135,1767.210148
136,1724.602352
137,1801.006668
138,1784.541912
139,1756.429542
140,1807.365889
141,1744.681241
142,1692.559626
143,1810.739965
144,1724.319094
145,1650.302014
146,1805.163218
147,1767.602589
148,1787.530827
149,1720.699762
150,1772.505675
151,1781.741534
152,1778.429039
153,1801.930673
154,1777.830368
155,1753.901213
156,1716.803082
157,1783.551004
158,1783.373079
159,1756.861047
160,1720.390484
161,1727.277492
162,1719.002001
163,1808.907034
164,1658.13517
165,1706.015626
166,1800.537924
167,1770.03524
168,1709.752499
169,1765.517722
170,1719.047194
171,1786.946487
172,1749.291987
173,1736.440262
174,1751.301484
175,1795.273593
176,1806.421122
177,1748.903077
178,1742.705949
179,1784.433717
180,1746.562207
181,1787.123528
182,1763.921917
183,1780.825316
184,1691.094028
185,1786.073549
186,1766.960011
187,1802.858397
188,1787.874866
189,1732.224083
190,1751.430025
191,1777.802514
192,1766.613759
193,1754.554568
194,1777.565477
195,1757.607061
196,1766.341773
197,1758.826713
198,1795.137144
199,1798.699962
200,1763.073202
201,1757.176745
202,1704.421084
203,1778.066792
204,1794.85077
205,1782.332649
206,1736.171644
207,1768.468332
208,1734.36081
209,1792.250733
210,1766.164283
211,1744.052431
212,1714.311694
213,1739.786068
214,1777.119393
215,1666.035014
216,1735.579465
217,1722.939096
218,1764.611868
219,1822.526707
220,1706.094511
221,1782.064143
222,1839.260608
223,1871.252862
224,1847.128578
225,1827.696199
226,1763.598451
227,1758.669721
228,1832.419206
229,1827.70268
230,1738.058987
231,1809.170414
232,1741.95322
233,1719.245805
234,1837.627148
235,1679.482783
236,1783.766982
237,1749.95714
238,1697.470066
239,1686.318274
240,1821.313338
241,1748.854858
242,1763.070156
243,1794.88992
244,1690.65259
245,1728.450743
246,1781.170296
247,1750.849718
248,1770.159795
249,1791.358044
250,1826.7131
251,1806.098713
252,1792.48599
253,1786.90076
254,1703.35936
255,1757.289647
256,1823.129695
257,1796.865532
258,1819.224191
259,1747.301034
260,1813.028072
261,1829.157954
262,1750.181279
263,1778.392417
264,1826.89309
265,1850.897934
266,1729.787927
267,1743.318581
268,1844.209267
269,1739.832174
270,1733.022428
271,1837.383551
272,1745.40647
273,1773.110691
274,1839.083226
275,1691.669559
276,1765.209344
277,1702.488801
278,1830.666498
279,1790.565618
280,1771.559198
281,1751.175313
282,1729.542107
283,1731.160295
284,1755.234161
285,1821.210216
286,1759.345379
287,1873.300336
288,1829.140981
289,1769.048248
290,1806.357412
291,1737.321004
292,1819.529872
293,1791.427696
294,1769.787496
295,1662.191856
296,1723.906769
297,1811.185026
298,1756.47581
299,1832.348299
300,1787.386449
301,1765.071593
302,1735.203453
303,1745.236369
304,1746.508351
305,1805.67501
306,1795.055571
307,1734.400691
308,1728.218832
309,1822.406475
310,1797.998321
311,1782.651251
312,1848.280312
313,1714.772742
314,1766.465269
315,1759.841183
316,1826.636157
317,1667.076991
318,1800.762697
319,1747.197731
320,1796.080656
321,1845.158167
322,1727.213739
323,1789.334165
324,1781.591797
325,1737.984033
326,1834.103203
327,1762.037711
328,1716.316328
329,1782.148052
330,1689.48319
331,1769.452563
332,1821.856203
333,1789.942585
334,1792.315691
335,1718.350401
336,1788.70806
337,1790.366763
338,1726.711597
339,1783.95223
340,1748.712413
341,1726.377991
342,1825.808088
343,1791.060014
344,1893.868509
345,1757.281632
346,1794.602707
347,1806.587871
348,1809.499048
349,1691.205885
350,1795.716289
351,1815.574889
352,1763.392792
353,1753.263444
354,1841.026904
355,1754.715844
356,1801.956421
357,1721.881442
358,1720.284945
359,1800.046131
360,1687.236652
361,1723.091034
362,1794.027912
363,1825.006784
364,1741.894414
365,1718.759323
366,1811.49549
367,1719.189824
368,1824.621947
369,1763.163673
370,1845.067128
371,1777.504138
372,1801.910882
373,1749.7604
374,1732.647306
375,1731.429448
376,1749.554579
377,1838.403809
378,1750.25007
379,1808.594568
380,1816.307662
381,1756.957958
382,1781.519515
383,1781.42072
384,1789.144745
385,1725.116448
386,1736.4035
387,1809.926137
388,1788.202672
389,1804.867242
390,1779.407063
391,1798.112609
392,1755.278973
393,1878.666081
394,1782.230836
395,1796.376664
396,1775.094667
397,1741.581143
398,1727.827682
399,1815.252188
400,1728.409481
401,1812.577904
402,1834.901958
403,1801.653454
404,1791.218767
405,1757.558159
406,1747.143515
407,1730.997588
408,1778.888242
409,1867.731634
410,1810.52615
411,1783.901794
412,1738.652247
413,1797.654614
414,1838.470128
415,1796.571767
416,1783.876131
417,1774.814721
418,1821.215989
419,1804.659243
420,1801.793703
421,1840.460612
422,1804.670883
423,1778.124423
424,1879.860772
425,1749.228923
426,1735.478328
427,1834.781607
428,1742.074987
429,1793.199749
430,1810.951881
431,1782.770961
432,1753.319344
433,1897.932603
434,1763.505558
435,1840.006691
436,1821.439082
437,1829.488759
438,1822.8439
439,1820.973631
440,1726.780172
441,1837.630825
442,1816.289097
443,1742.60041
444,1819.676478
445,1806.898397
446,1850.694812
447,1794.333501
448,1800.728228
449,1789.847447
450,1785.676716
451,1794.366588
452,1855.95768
453,1835.747415
454,1773.277255
455,1785.28345
456,1795.614524
457,1766.243328
458,1811.705698
459,1799.382959
460,1725.015316
461,1850.045785
462,1815.034782
463,1850.131924
464,1836.866817
465,1832.896297
466,1781.349705
467,1862.728227
468,1758.079698
469,1897.952351
470,1788.58367
471,1831.464735
472,1813.666797
473,1768.608136
474,1768.372312
475,1778.712296
476,1774.204046
477,1794.877601
478,1705.203917
479,1774.770223
480,1750.508134
481,1840.678567
482,1799.504544
483,1799.094305
484,1734.341916
485,1818.414732
486,1784.969146
487,1854.258267
488,1800.083397
489,1811.8379
490,1822.092754
491,1811.111765
492,1715.400598
493,1813.965484
494,1854.519904
495,1808.548349
496,1792.231858
497,1720.293714
498,1774.662118
499,1744.960359
500,1750.517963
501,1850.602053
502,1729.382063
503,1783.026099
504,1846.91983
505,1899.879683
506,1774.912499
507,1820.924268
508,1757.752249
509,1845.406524
510,1826.942889
511,1797.886244
512,1845.449979
513,1838.804437
514,1795.363773
515,1818.669878
516,1834.986459
517,1804.785945
518,1812.611775
519,1829.514238
520,1819.638856
521,1803.66104
522,1852.496715
523,1765.366526
524,1822.178941
525,1780.533341
526,1856.11092
527,1775.330646
528,1734.131437
529,1778.781253
530,1800.443191
531,1802.745505
532,1859.679292
533,1865.067731
534,1839.465503
535,1789.1782
536,1775.97275
537,1810.958972
538,1823.750035
539,1816.055103
540,1735.587782
541,1729.454845
542,1854.696624
543,1859.996442
544,1811.918674
545,1744.02606
546,1833.304282
547,1815.218334
548,1774.601605
549,1771.041105
550,1854.830624
551,1744.137054
552,1880.617003
553,1843.667645
554,1760.760423
555,1814.719671
556,1760.430939
557,1784.535071
558,1749.391756
559,1778.122197
560,1800.743748
561,1748.379204
562,1857.342871
563,1890.427515
564,1821.343739
565,1722.510107
566,1839.196729
567,1764.99044
568,1806.469694
569,1765.563436
570,1772.133594
571,1789.82349
572,1885.919812
573,1817.148282
574,1793.12113
575,1872.453434
576,1854.667813
577,1850.516237
578,1863.434427
579,1764.645414
580,1847.092296
581,1815.865447
582,1774.878785
583,1891.775664
584,1800.289615
585,1872.288671
586,1776.884178
587,1844.726204
588,1759.228371
589,1802.470627
590,1783.272132
591,1819.342775
592,1772.696591
593,1718.962977
594,1829.867022
595,1797.37055
596,1846.960906
597,1825.576356
598,1827.175917
599,1847.870364
600,1730.627424
601,1823.788356
602,1813.41218
603,1738.931938
604,1826.654095
605,1791.571744
606,1817.98859
607,1873.042194
608,1769.82089
609,1809.151432
610,1823.289279
611,1776.456282
612,1807.334068
613,1815.691127
614,1843.65398
615,1798.065045
616,1831.658593
617,1741.704495
618,1802.632613
619,1781.408272
620,1850.613975
621,1821.110894
622,1722.544144
623,1779.728736
624,1756.568023
625,1885.497278
626,1825.627781
627,1748.07701
628,1703.222702
629,1788.599842
630,1860.87019
631,1786.281563
632,1848.594948
633,1847.843181
634,1849.839519
635,1809.908926
636,1794.425988
637,1860.254002
638,1863.681814
639,1817.571882
640,1854.425994
641,1827.790637
642,1796.449719
643,1862.595413
644,1781.627827
645,1777.007357
646,1730.591326
647,1846.07328
648,1765.572997
649,1855.306478
650,1767.457845
651,1831.449604
652,1790.673273
653,1806.769581
654,1824.920966
655,1827.888488
656,1763.961275
657,1755.039405
658,1837.768961
659,1813.675297
660,1858.543199
661,1818.356247
662,1881.523112
663,1766.283317
664,1792.444113
665,1744.872229
666,1819.221433
667,1778.017622
668,1849.930197
669,1789.888156
670,1864.854802
671,1827.80612
672,1733.059989
673,1849.190673
674,1767.836449
675,1840.328742
676,1785.851921
677,1856.080856
678,1722.467583
679,1825.610332
680,1789.840493
681,1770.226777
682,1819.620222
683,1850.83495
684,1816.117966
685,1795.17328
686,-9885.142485
687,1799.03065
688,1810.383165
689,1836.656311
690,1808.659397
691,1781.688836
692,1879.247494
693,1790.468388
694,1852.207862
695,1828.593826
696,1818.0938
697,1868.262544
698,1799.896256
699,1863.382899
700,1850.930047
701,1813.238475
702,1833.135339
703,1797.172216
704,1735.32623
705,1838.082307
706,1756.520699
707,1880.380529
708,1785.645368
709,1786.561533
710,1901.810196
711,1744.630672
712,1834.740914
713,1829.082544
714,1910.41078
715,1820.693186
716,1854.945061
717,1807.372093
718,1855.494652
719,1788.934714
720,1827.161084
721,1774.618037
722,1776.699377
723,1862.285626
724,1795.180294
725,1750.001553
726,1817.965757
727,1773.983912
728,1761.520874
729,1841.966141
730,1856.234391
731,1832.05976
732,1763.986842
733,1839.18653
734,1835.831203
735,1816.696573
736,1782.946804
737,1837.51196
738,1817.18486
739,1845.293605
740,1839.298743
741,1832.27609
742,1849.827679
743,1894.11925
744,1857.617797
745,1789.565618
746,1835.549144
747,1869.720304
748,1854.290405
749,1839.969032
750,1807.504162
751,1888.702885
752,1794.059151
753,1822.531407
754,1940.760483
755,1898.39045
756,1876.811926
757,1823.585265
758,1810.752991
759,1797.930746
760,1916.04657
761,1837.519894
762,1722.725905
763,1836.535645
764,1802.720518
765,1815.395042
766,1857.170711
767,1793.949833
768,1805.79195
769,1882.744492
770,1826.054224
771,1863.481853
772,1813.903777
773,1841.63395
774,1860.12025
775,1901.749516
776,1843.282666
777,1845.328515
778,1775.660933
779,1802.488954
780,1816.956994
781,1871.13576
782,1844.069612
783,1774.467966
784,1846.359805
785,1824.108918
786,1776.416545
787,1825.4402
788,1817.877022
789,1869.574249
790,1788.892999
791,1877.059721
792,1814.58765
793,1792.058205
794,1797.133378
795,1813.445007
796,1831.831831
797,1726.728787
798,1815.434133
799,1835.978194
800,1879.892781
801,1793.871357
802,1865.030895
803,1821.407536
804,1829.37274
805,1792.365726
806,1809.023392
807,1791.221318
808,1809.037213
809,1836.363085
810,1800.086836
811,1752.20458
812,1845.789688
813,1777.479466
814,1776.652343
815,1795.772641
816,1841.644015
817,1822.077578
818,1818.868366
819,1813.445876
820,1808.160364
821,1838.976737
822,1816.685399
823,1871.954336
824,1823.455688
825,1906.642787
826,1925.226498
827,1795.219214
828,1866.370645
829,1821.013644
830,1789.06513
831,1807.875943
832,1795.185358
833,1860.542567
834,1794.684768
835,1801.457028
836,1875.13206
837,1934.076378
838,1908.603572
839,1875.667896
840,1872.591627
841,1828.043359
842,1753.496533
843,1817.755189
844,1819.668327
845,1804.239265
846,1778.507776
847,1861.509979
848,1837.812905
849,1830.530752
850,1793.702192
851,1881.89845
852,1746.524207
853,1867.630501
854,1793.65024
855,1868.993539
856,1902.168083
857,1846.261718
858,1863.610235
859,1840.26306
860,1819.015033
861,1829.551107
862,1911.422868
863,1889.825766
864,1872.448935
865,1892.584958
866,1870.2738
867,1779.250086
868,1859.367559
869,1809.391412
870,1829.891274
871,1836.223843
872,1796.361841
873,1844.38927
874,1871.81998
875,1884.454902
876,1796.869815
877,1844.36059
878,1850.820288
879,1842.060667
880,1796.030342
881,1839.533723
882,1802.783733
883,1816.430728
884,1852.204678
885,1823.599589
886,1829.80923
887,1888.68329
888,1849.835031
889,1820.770192
890,1829.181055
891,1869.795449
892,1852.06779
893,1866.945099
894,1842.058876
895,1810.461373
896,1887.85352
897,1780.824679
898,1835.710081
899,1811.951233
900,1811.724569
901,1848.20833
902,1818.754829
903,1807.452676
904,1915.707395
905,1843.127452
906,1878.365953
907,1798.239761
908,1807.734506
909,1882.131072
910,1763.709106
911,1817.629849
912,1836.448489
913,1887.266145
914,1782.448293
915,1781.095513
916,1849.691686
917,1792.967735
918,1807.174903
919,1880.418439
920,1857.078898
921,1895.024357
922,1797.228699
923,1807.074539
924,1812.016471
925,1813.966072
926,1821.324566
927,1836.858694
928,1780.089399
929,1827.846474
930,1850.31391
931,1879.491797
932,1787.091648
933,1790.721823
934,1806.555242
935,1924.594742
936,1858.129402
937,1820.87033
938,1838.862089
939,1897.529875
940,1889.890417
941,1868.533029
942,1884.752567
943,1859.939701
944,1840.989218
945,1831.013431
946,1836.262718
947,1895.528254
948,1789.055194
949,1884.248704
950,1852.705213
951,1800.649994
952,1894.29503
953,1851.388418
954,1756.935805
955,1837.10937
956,1815.710367
957,1849.913706
958,1845.901417
959,1823.556577
960,1854.987278
961,1904.340369
962,1891.357597
963,1836.09626
964,1763.997758
965,1770.547483
966,1852.616109
967,1763.191805
968,1901.986787
969,1851.43693
970,1900.977956
971,1794.85745
972,1817.596372
973,1854.17951
974,1825.887103
975,1792.717354
976,1741.610271
977,1807.28808
