step,reward
0,1629.601504
1,1553.384009
2,1653.863397
3,1578.746966
4,1527.221228
5,1630.8603
6,1613.554719
7,1613.586554
8,1563.044714
9,1549.734017
10,1608.725
11,1516.757463
12,1566.903133
13,1553.81437
14,1631.206709
15,1563.146206
16,1563.149321
17,1569.599032
18,1569.36819
19,1617.051065
20,1608.569769
21,1603.430729
22,1572.208548
23,1554.66745
24,1546.570122
25,1631.111784
26,1616.71518
27,1555.437237
28,1564.978831
29,1477.915313
30,1604.146245
31,1569.991747
32,1612.963996
33,1556.583895
34,1599.823976
35,1586.106832
36,1535.571818
37,1554.93511
38,1535.246225
39,1604.604038
40,1491.395905
41,1677.161619
42,1614.805037
43,1590.295492
44,1558.64869
45,1594.397992
46,1650.981544
47,1564.213749
48,1510.080148
49,1521.196766
50,1584.480542
51,1567.547183
52,1559.18095
53,1571.787112
54,1595.716982
55,1553.599251
56,1562.473412
57,1562.240064
58,1627.157951
59,1626.914074
60,1527.59727
61,1546.347262
62,1563.71927
63,1580.395915
64,1583.073511
65,1511.141828
66,1563.757857
67,1575.041393
68,1582.589388
69,1578.550936
70,1629.853758
71,1674.057022
72,1593.419423
73,1553.618191
74,1566.560641
75,1529.971379
76,1568.835872
77,1552.08568
78,1505.262647
79,1635.315147
80,1630.189147
81,1602.796315
82,1513.849621
83,1527.178193
84,1601.445729
85,1611.26045
86,1599.87792
87,1634.618793
88,1663.419443
89,1571.856316
90,1568.200531
91,1580.566163
92,1618.141362
93,1578.924517
94,1564.176966
95,1574.097394
96,1552.188261
97,1613.488307
98,1572.527013
99,1646.730592
100,1639.197756
101,1642.228897
102,1537.72149
103,1654.157412
104,1552.870328
105,1637.745189
106,1578.16561
107,1569.327115
108,1649.181702
109,1569.078333
110,1574.045038
111,1566.318468
112,1537.112665
113,1574.00701
114,1563.645435
115,1600.65283
116,1614.663866
117,1460.830412
118,1530.378163
119,1575.996066
120,1566.110743
121,1509.676667
122,1602.229195
123,1557.90938
124,1599.063543
125,1530.621285
126,1579.873641
127,1526.515047
128,1571.439456
129,1561.948153
130,1544.375762
131,1535.098988
132,1672.80759
133,1506.020396
134,1564.128669
135,1592.150572
136,1558.967071
137,1632.63472
138,1624.712357
139,1622.430035
140,1659.67332
141,1584.056142
142,1519.724108
143,1665.953138
144,1557.793052
145,1480.519478
146,1638.192883
147,1605.443084
148,1621.703637
149,1547.019916
150,1636.355629
151,1627.669373
152,1590.888479
153,1642.783755
154,1564.922349
155,1586.259217
156,1552.908982
157,1631.895591
158,1631.356775
159,1586.560651
160,1535.204478
161,1573.205327
162,1567.680794
163,1631.904517
164,1488.471204
165,1544.730577
166,1626.733241
167,1622.457388
168,1546.41776
169,1586.166045
170,1575.359156
171,1623.308373
172,1573.846361
173,1610.356222
174,1666.689187
175,1616.044711
176,1643.847447
177,1593.279953
