step,reward
0,-96306.441462
1,-96306.141925
2,-96012.556163
3,-96306.172238
4,-96011.942783
5,-96306.172311
6,-96012.243483
7,-96011.912516
8,-96306.171727
9,-96011.943294
10,-96306.471729
11,-96012.212518
12,-96306.202505
13,-96306.203088
14,-96011.97433
15,-96012.617905
16,-96012.856409
17,-95718.628402
18,-96011.974258
19,-96012.617977
20,-96012.58694
21,-96011.974841
22,-96306.472312
23,-96012.587013
24,-96306.202577
25,-95718.327457
26,-96306.503204
27,-96306.47224
28,-96012.887957
29,-96011.943366
30,-95718.358932
31,-96012.243993
32,-95718.358421
33,-95718.359004
34,-96306.234052
35,-96012.586429
36,-96012.244065
37,-96012.887374
38,-96012.920113
39,-96012.919602
40,-96012.618488
41,-95718.39065
42,-96012.275711
43,-96012.27564
44,-96012.887885
45,-95718.423723
46,-96012.276222
47,-96306.503276
48,-96306.503787
49,-96012.952675
50,-96012.650133
51,-95718.391161
52,-95718.660558
53,-96306.535433
54,-96012.919531
55,-95718.660048
56,-95718.66063
57,-95718.693192
58,-95718.693121
59,-96012.006487
60,-95718.390579
61,-95718.693703
